,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
5376,False,/z3XieQjXfT63WiKvlJACbOxxFYn.jpg,"['Romance', 'Comedy']",38093,en,Just Wright,"Physical therapist Leslie Wright lands the dream job of working with basketball superstar Scott McKnight, helping him recover from a career-threatening injury. All goes well and soon Leslie finds herself falling in love with him. Just as their friendship deepens, however, Scott focuses his attention back on his tenuous relationship with his ex-fiancé Morgan, Leslie's gorgeous godsister, who would love to be the basketball player's trophy wife.",13.934,/qx1SumoTQYtB9VyxQ7irlfE2e7L.jpg,2010-05-14,Just Wright,False,6.6,426
5377,False,/stYxBkVt8whR2iDuqo36j763uz.jpg,['Horror'],11298,en,The Howling,"After a bizarre and near fatal encounter with a serial killer, a newswoman is sent to a rehabilitation center whose inhabitants may not be what they seem.",15.751,/mBN7f4djK5Pi1XRKlUicxgZatAC.jpg,1981-01-21,The Howling,False,6.565,780
5378,False,/wSm5McaHSAyOx4gGRYdlDHzj00y.jpg,"['Science Fiction', 'Comedy', 'Crime']",816,en,Austin Powers: International Man of Mystery,"As a swinging fashion photographer by day and a groovy British superagent by night, Austin Powers is the '60s' most shagadelic spy. But can he stop megalomaniac Dr. Evil after the bald villain freezes himself and unthaws in the '90s? With the help of sexy sidekick Vanessa Kensington, he just might.",27.069,/5uD4dxNX8JKFjWKYMHyOsqhi5pN.jpg,1997-05-02,Austin Powers: International Man of Mystery,False,6.565,3431
5379,False,/n67gpLtNFXqpGkM2ZdQoPLjTnI.jpg,"['Mystery', 'Thriller', 'Horror']",471506,en,Greta,"A young woman returns a lonely widow’s lost purse, leading to an unlikely relationship between the two — until the young woman discovers the widow might not be all that she seems.",26.005,/9hBpFyJ3pGdupXbaC2L7nGvLMBn.jpg,2019-02-28,Greta,False,6.564,1339
5380,False,/fPcOyvYdzBPsYgBBVtRgGxcAoMa.jpg,"['Drama', 'Romance']",376166,fr,Mal de pierres,"In 1950s France, a free-spirited woman trapped in an arranged marriage falls in love with an injured veteran of the Indochinese War.",11.786,/6TDhHR8nTJnMfZRi9XSEdutYzcW.jpg,2016-10-19,From the Land of the Moon,False,6.6,303
5381,False,/jNsK2a8A1DYpaCX5HGElp3t4x6.jpg,"['Horror', 'Action', 'Science Fiction']",56832,ja,Gantz,"After trying to rescue a man on the subway tracks, two teens wake up in a room dominated by a mysterious black sphere that sends them to hunt down and kill aliens hiding on Earth.",16.93,/vScJdcqXHyupdeO3wkTqT92ew85.jpg,2010-11-29,Gantz,False,6.564,306
5382,False,/fmDYTtZZQHLBAvvqgdXItqMXBNG.jpg,"['Comedy', 'Drama', 'Romance']",8488,en,Hitch,"Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.",33.212,/x3W9H3nhGQbWSlyI8Amp2F6Z6cz.jpg,2005-02-11,Hitch,False,6.564,5806
5383,False,/zLj0peaxy5y2SlC6wNIQ4V0pfqg.jpg,"['Animation', 'Family', 'Comedy', 'Fantasy']",1139829,en,Orion and the Dark,"A boy with an active imagination faces his fears on an unforgettable journey through the night with his new friend: a giant, smiling creature named Dark.",60.717,/k6iHs4daxm0RQqFQsE8oE5wWJjj.jpg,2024-02-01,Orion and the Dark,False,6.6,522
5384,False,/wPjtacig0kIkVcTQmXoNt6jbMwo.jpg,"['Action', 'Thriller']",617502,en,Jolt,A bouncer with an anger management problem goes on a furious and resentful rampage after the murder of a friend.,25.803,/b0fBzqCmHr0a0XkeAdhc02XhKXG.jpg,2021-07-15,Jolt,False,6.563,1264
5385,False,/sEqSMNIkxizIHW8kWKoikVYWeXF.jpg,"['Comedy', 'Drama']",396810,en,The Last Word,"A retired businesswoman – who tries to control everything around her – decides to write her own obituary. A young journalist takes up the task of finding out the truth, and the result is a life-altering friendship.",10.8,/zvwBd0nsW5OqTs4ndEJLQY62leF.jpg,2017-03-03,The Last Word,False,6.563,352
5386,False,/qkwlPlub5kx7NNz1rX8S3TKZUWe.jpg,"['War', 'Action', 'Drama']",10652,en,Hamburger Hill,"The men of Bravo Company are facing a battle that's all uphill… up Hamburger Hill. Fourteen war-weary soldiers are battling for a mud-covered mound of earth so named because it chews up soldiers like chopped meat. They are fighting for their country, their fellow soldiers and their lives. War is hell, but this is worse. Hamburger Hill tells it the way it was, the way it really was. It's a raw, gritty and totally unrelenting dramatic depiction of one of the fiercest battles of America's bloodiest war. This happened. Hamburger Hill - war at its worst, men at their best.",16.173,/iJ74x7QXlpCOfLWAmKWclz1sLHM.jpg,1987-08-07,Hamburger Hill,False,6.6,464
5387,False,/6kTLm7zfwKAgAcGnaVU0uT4QYug.jpg,"['Adventure', 'Animation', 'Family', 'Fantasy']",10539,en,James and the Giant Peach,"When the young orphan boy James spills a magic bag of crocodile tongues, he finds himself in possession of a giant peach that flies him away to strange lands.",22.459,/nl2oB6EbD1fHFuP2TLUHDtqs7Ux.jpg,1996-04-12,James and the Giant Peach,False,6.6,1325
